term,sourceLabel,label,definition,sourceURL,sourceFile
DE-125,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (125)","None","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-130,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (130)","None","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-140,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (140)","The DE-140 frame is the DE-400 frame rotated:

            0.9999256765384668  0.0111817701197967  0.0048589521583895
            -0.0111817701797229  0.9999374816848701 -0.0000271545195858
            -0.0048589520204830 -0.0000271791849815  0.9999881948535965

        The DE-400 frame is treated as equivalent to the J2000 frame.","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-142,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (142)","The DE-142 frame is the DE-402 frame rotated:

            0.9999256765402605  0.0111817697320531  0.0048589526815484
            -0.0111817697907755  0.9999374816892126 -0.0000271547693170
            -0.0048589525464121 -0.0000271789392288  0.9999881948510477

            The DE-402 frame is treated as equivalent to the J2000 frame.","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-143,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (143)","The DE-143 frame is the DE-403 frame rotated:

            0.9999256765435852  0.0111817743077255  0.0048589414674762
            -0.0111817743300355  0.9999374816382505 -0.0000271622115251
            -0.0048589414161348 -0.0000271713942366  0.9999881949053349

            The DE-403 frame is treated as equivalent to the J2000 frame.","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-200,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (200)","None","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-202,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (202)","None","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DE-96,SPICE_Built_In_Inertial,"JPL Developmental Ephemeris (96)","None","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
DGEO,Geopack,"WORLD GEODETIC SYSTEM WGS84 PARAMETERS FOR THE EARTH'S ELLIPSOID","","https://geo.phys.spbu.ru/~tsyganenko/empirical-models/coordinate_systems/gsw_system","software/Geopack-2008_gsw_system.csv"
DIIS,TREPS_frames,"Dione Inter-action coordinate System","The Moon Inter-action coordinate System frame is defined as follows:

      -  The inertially referenced velocity of Saturn relative to Moon
         is the primary vector: +X;

	  -  The position of Saturn relative to Moon is the secondary vector:
         +Y axis points from Moon to the Saturn;

      -  +Z axis completes the right-handed system;

      -  the origin of this frame is Moon's center of mass.

   All vectors are geometric: no corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
DIP,Laundal_and_Richmond,"Dip (latitude) (Sect. 3.2)","","https://doi.org/10.1007/s11214-016-0275-y","papers/Laundal_and_Richmond-2016.csv"
DM,SPASE,"Dipole Meridian","Dipole Meridian - A coordinate system centered at the observation point. Z axis is parallel to the Earths dipole axis, positive northward. X is in the plane defined by Z and the line linking the observation point with the Earths center. Y is positive eastward.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
DME,TREPS_frames,"Deimos Mean Equator","The Deimos Mean Equator of Date frame (also known as Deimos Mean Equator
   and IAU vector of Date frame) is defined as follows :

      -  X-Y plane is defined by the Deimos equator of date, and the
         +Z axis, primary vector of this frame, is parallel to the
         Moon's rotation axis of date, pointing toward the North side
         of the invariant plane;

      -  +X axis is defined by the intersection of the Moon's equator
         of date with the Earth Mean Equator of J2000;

      -  +Y axis completes the right-handed system;

      -  the origin of this frame is Deimos' center of mass.

   All vectors are geometric: no corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
DSE,TREPS_frames,"Deimos-centric Solar Ecliptic","The Moon-centric Solar Ecliptic frame is defined as follows:

      -  The position of the Sun relative to Deimos is the primary vector:
         +X axis points from Moon to the Sun;
 
      -  The inertially referenced velocity of the Sun relative to Deimos
         is the secondary vector: +Y axis is the component of this
         velocity vector orthogonal to the +X axis;

      -  +Z axis completes the right-handed system;

      -  the origin of this frame is Deimos' center of mass.

   All vectors are geometric: no corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
ECD,SPASE,"Eccentric Dipole","Eccentric Dipole (ECD) coordinate system that aligns with a dipole whose origin and orientation may be different from the physical center and spin axis of the containing body. The IGRF-12 coefficients for 2015 are used to determine the origin for the earth. The 2015 positions are North dip pole: latitude: 86.29, longitude -160.06. South dip pole latitide: -64.28, longitude: 136.59, North geometric pole latitude: 80.37, longitude: -72.63, South geomagnetic pole latitude: -80.37, longitude: 107.37ECD is defined in doi:10.1186/s40623-015-0228-9.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
ECEF,Laundal_and_Richmond,"Earth-Centered Earth-Fixed (Sect. 2)","","https://doi.org/10.1007/s11214-016-0275-y","papers/Laundal_and_Richmond-2016.csv"
ECEF,SPASE,"The Earth-Centered, Earth-Fixed","The Earth-Centered, Earth-Fixed (ECEF) coordinate system has point (0,0,0) defined as the center of mass of the Earth. Its axes are aligned with the International Reference Pole (IRP) and International Reference Meridian (IRM). The x-axis intersects the sphere of the Earth at 0 degree latitude (Equator) and 0 degree longitude (Greenwich). The z-axis points north. The y-axis completes the right handed coordinate system.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
ECI2000,SpacePy,"Earth-centered Inertial, J2000 epoch","","https://spacepy.github.io/_modules/spacepy/coordinates.html","software/SpacePy-2023.csv"
ECIMOD,SpacePy,"Earth-centered Inertial, mean-of-date","","https://spacepy.github.io/_modules/spacepy/coordinates.html","software/SpacePy-2023.csv"
ECITOD,SpacePy,"Earth-centered Inertial, true-of-date","","https://spacepy.github.io/_modules/spacepy/coordinates.html","software/SpacePy-2023.csv"
ECLIPB1950,SPICE_Built_In_Inertial,"Ecliptic coordinates based upon the B1950 frame.","The value for the obliquity of the ecliptic at B1950 is taken from page 171 of [7].","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
ECLIPDATE,TREPS_frames,"Earth Mean Ecliptic and Equinox","The Earth Mean Ecliptic and Equinox of Date frame is defined as follows:

      -  +Z axis is aligned with the north-pointing vector normal to the
         mean orbital plane of the Earth;

      -  +X axis points along the ``mean equinox'', which is defined as the
         intersection of the Earth's mean orbital plane with the Earth's mean
         equatorial plane. It is aligned with the cross product of the
         north-pointing vectors normal to the Earth's mean equator and mean
         orbit plane of date;

      -  +Y axis is the cross product of the Z and X axes and completes the
         right-handed frame;

      -  the origin of this frame is the Earth's center of mass.

   The mathematical model used to obtain the orientation of the Earth's mean
   equator and equinox of date frame is the 1976 IAU precession model, built
   into SPICE.

   The mathematical model used to obtain the mean orbital plane of the Earth
   is the 1980 IAU obliquity model, also built into SPICE.

   The base frame for the 1976 IAU precession model is J2000.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
ECLIPJ2000,TREPS_frames,"Ecliptic coordinates based upon the J2000 frame","The value for the obliquity of the
                      ecliptic at J2000 is taken from 
                      of 'Explanatory Supplement to the Astronomical Almanac'
						edited by P. Kenneth Seidelmann. University Science
						Books, 20 Edgehill Road, Mill Valley, CA 94941 (1992)
					  page 114 equation 3.222-1","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
ECLIPJ2000,SPICE_Built_In_Inertial,"Ecliptic coordinates based upon the J2000 frame.","The value for the obliquity of the ecliptic at J2000 is taken from page 114 of [7] equation 3.222-1. This agrees with the expression given in [5].","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
ECLIPTIC,IVOA_STCT,"Ecliptic coordinates","Left-handed in spherical coordinates","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
ECLIPTIC,IVOA_refframe,"1","Ecliptic","https://github.com/ivoa-std/Vocabularies/blob/master/refframe/terms.csv","documents/IVOA_refframe-2022-02-22-terms.csv"
ED,Laundal_and_Richmond,"Eccentric Dipole (Sect. 3.3)","","https://doi.org/10.1007/s11214-016-0275-y","papers/Laundal_and_Richmond-2016.csv"
EME,TREPS_frames,"Earth Mean Equator and Equinox","The Earth Mean Equator and Equinox of Date frame is defined as follows:

      -  +Z axis is aligned with the north-pointing vector normal to the
         mean equatorial plane of the Earth;

      -  +X axis points along the ``mean equinox'', which is defined as the
         intersection of the Earth's mean orbital plane with the Earth's mean
         equatorial plane. It is aligned with the cross product of the
         north-pointing vectors normal to the Earth's mean equator and mean
         orbit plane of date;

      -  +Y axis is the cross product of the Z and X axes and completes the
         right-handed frame;

      -  the origin of this frame is the Earth's center of mass.

   The mathematical model used to obtain the orientation of the Earth's mean
   equator and equinox of date frame is the 1976 IAU precession model, built
   into SPICE.

   The base frame for the 1976 IAU precession model is J2000.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
ENIS,TREPS_frames,"Enceladus Inter-action coordinate System","The Moon Inter-action coordinate System frame is defined as follows:

      -  The inertially referenced velocity of Saturn relative to Moon
         is the primary vector: +X;

	  -  The position of Saturn relative to Moon is the secondary vector:
         +Y axis points from Moon to the Saturn;

      -  +Z axis completes the right-handed system;

      -  the origin of this frame is Moon's center of mass.

   All vectors are geometric: no corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
ENP,SPASE,"East-North-Perpendicular","ENP (also called PEN) - The P vector component points northward, perpendicular to orbit plane which for a zero degree inclination orbit is parallel to Earths spin axis. The E vector component is perpendicular to P and N and points earthward. The N component is perpendicular to P and E and is positive eastward.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
ENU,Laundal_and_Richmond,"East North Up (Sect. 2)","","https://doi.org/10.1007/s11214-016-0275-y","papers/Laundal_and_Richmond-2016.csv"
EPHIO,TREPS_frames,"Europa Phi-Omega","In those Cartesian coordinate system (referred to as MphiO - M is Moon prefix -),
X is along the flow direction, Y is along the Moon-Jupiter vector, and Z is along the spin axis.
These coordinates are analogous to the earth-centered GSE coordinates that relate to the direction of
flow of the solar wind onto Earth's environment","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
EQUATORIAL,IVOA_refframe,"1","Equatorial","https://github.com/ivoa-std/Vocabularies/blob/master/refframe/terms.csv","documents/IVOA_refframe-2022-02-22-terms.csv"
FK4,AstroPy,"FK4","Note that this is a barycentric version of FK4 - that is, the origin for this frame is the Solar System Barycenter, not the Earth geocenter.","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
FK4,IVOA_STCT,"Fundamental Katalog, system 4; Besselian","Requires Equinox; default B1950.0
Left-handed in spherical coordinates","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
FK4,IVOA_refframe,"2","FK4","https://github.com/ivoa-std/Vocabularies/blob/master/refframe/terms.csv","documents/IVOA_refframe-2022-02-22-terms.csv"
FK4,SPICE_Built_In_Inertial,"Fundamental Catalog (4)","The FK4 reference frame is derived from the B1950 frame by applying the equinox offset determined by Fricke.

            [ 0.525"" ]
                    3","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
FK4NoETerms,AstroPy,"FK4 No E-Terms","A coordinate or frame in the FK4 system, but with the E-terms of aberration removed."
GCRS,Geocentric Celestial Reference System,A coordinate or frame in the Geocentric Celestial Reference System (GCRS).\n\nGCRS is distinct form ICRS mainly in that it is relative to the Earth’s center-of-mass rather than the solar system Barycenter. That means this frame includes the effects of aberration (unlike ICRS). For more background on the GCRS","https://docs.astropy.org/en/stable/coordinates/skycoord.html","software/AstroPy-2024-09-09.csv"
FK5,IVOA_STCT,"Fundamental Katalog, system 5; Julian","Requires Equinox; default J2000.0
Left-handed in spherical coordinates","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
FK5,IVOA_refframe,"2","FK5","https://github.com/ivoa-std/Vocabularies/blob/master/refframe/terms.csv","documents/IVOA_refframe-2022-02-22-terms.csv"
GALACTIC,IVOA_refframe,"2","Galactic","https://github.com/ivoa-std/Vocabularies/blob/master/refframe/terms.csv","documents/IVOA_refframe-2022-02-22-terms.csv"
GALACTIC,SPICE_Built_In_Inertial,"Galactic System II","The Galactic System II reference frame is defined by the following rotations:

            o          o            o
            [ 327  ]  [ 62.6  ]  [ 282.25  ]
                    3          1            3

            In the absence of better information, we assume the rotations are relative to the FK4 frame.","https://naif.jpl.nasa.gov/pub/naif/toolkit_docs/C/req/frames.html#Complete%20List%20of%20%60%60Built%20in''%20Inertial%20Reference%20Frames","software/SPICE_Built_In_Inertial-2023.xml"
GALACTIC[_II],IVOA_STCT,"New Galactic coordinates","Left-handed in spherical coordinates","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
GALACTIC_I,IVOA_STCT,"Old Galactic coordinates","Left-handed in spherical coordinates","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
GALACTIC_I,IVOA_refframe,"2","Old Galactic","https://github.com/ivoa-std/Vocabularies/blob/master/refframe/terms.csv","documents/IVOA_refframe-2022-02-22-terms.csv"
GDZ,SpacePy,"Geodetic coordinates","","https://spacepy.github.io/_modules/spacepy/coordinates.html","software/SpacePy-2023.csv"
GEI,PySPEDAS,"","","https://github.com/spedas/pyspedas/blob/master/pyspedas/cotrans/cotrans_lib.py","software/PySPEDAS-2023.csv"
GEI,SpacePy,"Geocentric Equatorial Inertial (IRBEM approximation of TOD)","","https://spacepy.github.io/_modules/spacepy/coordinates.html","software/SpacePy-2023.csv"
GEI,Geopack,"","","https://geo.phys.spbu.ru/~tsyganenko/empirical-models/coordinate_systems/gsw_system","software/Geopack-2008_gsw_system.csv"
GEI,SPASE,"Geocentric Equatorial Inertial","GEI Geocentric Equatorial Inertial - A coordinate system where the Z axis is along Earths spin vector, positive northward. X axis points towards the first point of Aries (from the Earth towards the Sun at the vernal equinox). See Russell, 1971. When the X axis is the direction of the mean vernal equinox of J2000, the coordinate system is also called GCI. Then the Z axis is also defined as being normal to the mean Earth equator of J2000.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
GENERIC_GALACTIC,IVOA_refframe,"1","Galactic","https://github.com/ivoa-std/Vocabularies/blob/master/refframe/terms.csv","documents/IVOA_refframe-2022-02-22-terms.csv"
GEO,Laundal_and_Richmond,"Geocentric (Sect. 2)","","https://doi.org/10.1007/s11214-016-0275-y","papers/Laundal_and_Richmond-2016.csv"
GEO,PySPEDAS,"","","https://github.com/spedas/pyspedas/blob/master/pyspedas/cotrans/cotrans_lib.py","software/PySPEDAS-2023.csv"
GEO,SpacePy,"Geocentric geographic, aka Earth-centered Earth-fixed","","https://spacepy.github.io/_modules/spacepy/coordinates.html","software/SpacePy-2023.csv"
GEO,Geopack,"","","https://geo.phys.spbu.ru/~tsyganenko/empirical-models/coordinate_systems/gsw_system","software/Geopack-2008_gsw_system.csv"
GEO,SPASE,"Geographic - geocentric corotating","Geographic - geocentric corotating - A coordinate system where the Z axis is along Earths spin vector, positive northward. X axis lies in Greenwich meridian, positive towards Greenwich. See Russell, 1971.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
GEO_C,IVOA_STCT,"Geographic (geocentric) coordinates: longitude, latitude, geocentric distance","3-D spherical or 3-D Cartesian","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
GEO_D,IVOA_STCT,"Geodetic coordinates: longitude, latitude, elevation","Semi-major axis and inverse flattening of the reference spheroid may need to be provided; default is IAU 1976 (6378140 m, 298.2577)","https://www.ivoa.net/documents/REC/DM/STC-20071030.html","documents/IVOA_STCT-2007.csv"
GPHIO,SPASE,"Ganymede Phi-Omega","In this Cartesian coordinate system centered on Ganymede, X is along the flow direction, Y is along the Moon-Jupiter vector, and Z is along the spin axis. These coordinates are analogous to the earth-centered GSE coordinates that relate to the direction of flow of the solar wind onto Earth's environment. All the vectors are geometric: no aberration corrections are used.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
GPHIO,SPASE,"Kronian Solar Orbital","Kronian Solar Orbital - A coordinate system related to Saturn where X is anti-sunward, Y along the orbital velocity direction.","https://spase-group.org/data/model/spase-2.4.0/spase-2_4_0_xsd.html","documents/SPASE-2023.csv"
GPHIO,TREPS_frames,"Ganymede Phi-Omega","In those Cartesian coordinate system (referred to as MphiO, M=Ganymede, Europa, Io, Callisto),
X is along the flow direction, Y is along the Moon-Jupiter vector, and Z is along the spin axis.
These coordinates are analogous to the earth-centered GSE coordinates that relate to the direction of
flow of the solar wind onto Earth's environment
All the vectors are geometric: no aberration corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
GRIGGSKELL_CSO,TREPS_frames,"Comet solar orbital  centered on GRIGG-SKJELLERUP comet","Comet frames are defined as a two-vector style dynamic frames as follows:
 
      -  The position of the sun relative to the comet is the primary
         vector: the X axis points from the comet to the sun.

      -  The inertially referenced velocity of the sun relative to the
         comet is the secondary vector: the Y axis is the component of
         this velocity vector orthogonal to the X axis.

      -  The Z axis is X cross Y, completing the right-handed reference
         frame.

      -  All vectors are geometric: no aberration corrections are used.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
GRIGGSKELL_EME,TREPS_frames,"J2000 centered on GRIGG-SKJELLERUP comet","Earth mean equator, dynamical equinox of J2000 centered on GRIGG-SKJELLERUP.","https://gitlab.irap.omp.eu/CDPP/TREPS/blob/master/server/kernel/data/frames.xml","software/TREPS_frames-2023.xml"
GSE,Laundal_and_Richmond,"Geocentric Solar Ecliptic (Sect. 3.4)","","https://doi.org/10.1007/s11214-016-0275-y","papers/Laundal_and_Richmond-2016.csv"
GSE,PySPEDAS,"","","https://github.com/spedas/pyspedas/blob/master/pyspedas/cotrans/cotrans_lib.py","software/PySPEDAS-2023.csv"
